index,division,state,name,surname,party,colour,note
PAGE,Page,NSW,Kevin,HOGAN,NAT,#008033,
PMTA,Parramatta,NSW,Andrew,CHARLTON,ALP,#ed0011,
PRCE,Pearce,WA,Tracey,ROBERTS,ALP,#ed0011,
PRKS,Parkes,NSW,Jamie,CHAFFEY,NAT,#008033,
PRTH,Perth,WA,Patrick,GORMAN,ALP,#ed0011,
PTRE,Petrie,QLD,Emma,COMER,ALP,#ed0011,
PTSN,Paterson,NSW,Meryl,SWANSON,ALP,#ed0011,
RBSN,Robertson,NSW,Gordon,REID,ALP,#ed0011,
RCHM,Richmond,NSW,Justine,ELLIOT,ALP,#ed0011,
REID,Reid,NSW,Sally,SITOU,ALP,#ed0011,
RIVA,Riverina,NSW,Michael,McCORMACK,NAT,#008033,
RNKN,Rankin,QLD,Jim,CHALMERS,ALP,#ed0011,
RYAN,Ryan,QLD,Elizabeth,WATSON-BROWN,GRN,#64d915,
SCUL,Scullin,VIC,Andrew,GILES,ALP,#ed0011,
SHTL,Shortland,NSW,Pat,CONROY,ALP,#ed0011,
SLMN,Solomon,NT,Luke John,GOSLING,ALP,#ed0011,
SPCE,Spence,SA,Matt,BURNELL,ALP,#ed0011,
STRT,Sturt,SA,Claire,CLUTTERHAM,ALP,#ed0011,
SWAN,Swan,WA,Zaneta,MASCARENHAS,ALP,#ed0011,
SYDN,Sydney,NSW,Tanya,PLIBERSEK,ALP,#ed0011,
TGNY,Tangney,WA,Sam,LIM,ALP,#ed0011,
WDBY,Wide Bay,QLD,Llew,O'BRIEN,LNP,#1983f7,
WGAH,Warringah,NSW,Zali,STEGGALL,IND,#9c9c9c,
WGHT,Wright,QLD,Scott,BUCHHOLZ,LNP,#1983f7,
WHLM,Whitlam,NSW,Carol,BERRY,ALP,#ed0011,
WLLS,Wills,VIC,Peter,KHALIL,ALP,#ed0011,
WNNN,Wannon,VIC,Dan,TEHAN,LIB,#083cdd,
WRWA,Werriwa,NSW,Anne Maree,STANLEY,ALP,#ed0011,
WTSN,Watson,NSW,Tony,BURKE,ALP,#ed0011,
WWTH,Wentworth,NSW,Allegra,SPENDER,IND,#9c9c9c,

