index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus
OCNR,O'Connor,Western Australia,"Charles Yelverton O'Connor, 1843–1902",28/02/1980,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
OXLY,Oxley,Queensland,"John Joseph Oxley, 1784–1828",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PAGE,Page,New South Wales,"Rt Hon. Sir Earle Christmas Grafton Page GCMG CH, 1880–1961",11/10/1984,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
PMTA,Parramatta,New South Wales,"City of Parramatta, est. 1788",11/12/2000,,TRUE,,,,,TRUE,TRUE
PRCE,Pearce,Western Australia,"Sir George Foster Pearce, 1870–1952",31/03/1989,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
PRKS,Parkes,New South Wales,"Sir Henry Parkes KCMG GCMG, 1815–96",11/10/1984,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
PRTH,Perth,Western Australia,"City of Perth, est. 1829",05/12/2000,,TRUE,,,,,TRUE,FALSE
PTRI,Petrie,Queensland,"Andrew Petrie, 1798–1872",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
PTSN,Paterson,New South Wales,"Col. William Paterson, 1755–1810; Andrew Barton 'Banjo' Paterson CBE, 1864–1941",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
RCHM,Richmond,New South Wales,"Richmond River and Valley, Githabul Country",11/12/2000,,TRUE,,,,,TRUE,FALSE
REID,Reid,New South Wales,"Rt Hon. Sir George Houstoun Reid KC GCB GCMG, 1845–1918",13/09/2022,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
RIVA,Riverina,New South Wales,"Riverina region, Wiradjuri Country",11/12/2000,,TRUE,,,,,TRUE,FALSE
RNKN,Rankin,Queensland,"Dame Annabelle Jane Mary Rankin DBE, 1908–86",13/09/1984,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
ROBN,Robertson,New South Wales,"Sir John Robertson KCMG, 1816–91",11/12/2000,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
RYAN,Ryan,Queensland,"Thomas Joseph Ryan, 1876–1921",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
SCLN,Scullin,Victoria,"Rt Hon. James Henry Scullin, 1876–1953",21/11/1968,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
SHTL,Shortland,New South Wales,"Lt. John Shortland RN, 1769–1810",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
SLMN,Solomon,Northern Territory,"Vaiben Louis Solomon, 1853–1908",21/12/2000,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
SPNC,Spence,South Australia,"Catherine Helen Spence, 1825–1910",20/07/2018,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
STRT,Sturt,South Australia,"Capt. Charles Sturt, 1795–1869",11/05/2049,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
SWAN,Swan,Western Australia,"Swan River/Derbarl Yerrigan, Nyungar Country",05/12/2000,,TRUE,,,,,TRUE,FALSE
SYDN,Sydney,New South Wales,"City of Sydney, est. 1788",21/11/1968,,FALSE,,,,,TRUE,FALSE
TGNY,Tangney,Western Australia,"Dame Dorothy Margaret Tangney DBE, 1907–85",19/04/1974,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WDBY,Wide Bay,Queensland,"Wide Bay, Gubbi Gubbi Country",28/12/2000,,TRUE,,,,,TRUE,FALSE
WGAH,Warringah,New South Wales,"Middle Harbour/Warrin ga, Eora Country",13/09/2022,,FALSE,,,,,TRUE,TRUE
WGHT,Wright,Queensland,"Judith Wright, 1915–2000",15/12/2009,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WHLM,Whitlam,New South Wales,"Hon. Edward Gough Whitlam AC QC, 1916–2014",25/02/2016,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
WLLS,Wills,Victoria,"William John Wills, 1834–61",11/05/2049,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WNNN,Wannon,Victoria,"Wannon River, Jardwadjali Country",26/09/2000,,TRUE,,,,,TRUE,TRUE
WRWA,Werriwa,New South Wales,"Lake George/Weereewa or Ngungar, Ngunnawal Country",11/12/2000,,TRUE,,,,,TRUE,TRUE
WTSN,Watson,New South Wales,"Hon. John Christian Watson, 1867–1941",31/01/1992,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
WWTH,Wentworth,New South Wales,"William Charles Wentworth, 1790 –1872",11/12/2000,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BLWK,Bullwinkel,Western Australia,"Lt. Col. Vivian Statham (née Bullwinkel) AO MBE ARRC ED FNM FRCNA, 1915–2000",27/11/2024,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE

