index,division,state,namesake,created,abolished,isfed,ispm,iscol,isfem,isind,isgeo,isaus,islinked
ACAP,Australian Capital Territory,Australian Capital Territory,"Australian Capital Territory, Ngunnawal & Ngambri Country",15/09/1949,19/04/1974,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
BCVA,Balaclava,Victoria,"Suburb of Balaclava, Boonwurrung Country",08/10/1900,14/09/1984,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
BLAA,Ballaarat,Victoria,"City of Ballarat / balla arat , Wathawurrung Country",08/10/1900,07/11/1977,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
BRRR,Barrier,New South Wales,"Barrier Ranges, Wilyakali Country",11/12/1900,13/09/1922,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
BATM,Batman,Victoria,"John Batman, 1801–39",13/07/1906,13/07/2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
BLND,Bland,New South Wales,"William Bland, 1789–1868",11/12/1900,13/07/1906,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
BYTH,Bonython,South Australia,"The Hon Sir John Langdon Bonython KCMG, 1848–1939",19/10/1955,17/12/2003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
BOUK,Bourke,Victoria,"Gen Sir Richard Bourke KCB, 1777–1856",08/10/1900,11/05/1949,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
BRKE,Burke,Victoria,"Lt Robert O'Hara Burke, 1821–61",21/11/1968,29/01/2003,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
BURK,Burke,Victoria,"Lt Robert O'Hara Burke, 1821–61",11/05/1949,10/08/1955,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
CNBL,Canobolas,New South Wales,"Mount Canobolas / Gaanha Bula , Wiradjuri Country",11/12/1900,13/07/1906,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
CHLN,Charlton,New South Wales,"Matthew Charlton, 1866–1948",11/10/1984,25/02/2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
COOX,Cook,New South Wales,"Capt James Cook FRS, 1728–79",13/07/1906,30/08/1955,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
CLGD,Coolgardie,Western Australia,"Town of Coolgardie, Wangkatha Country",05/12/1900,01/02/1913,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
CNLA,Corinella,Victoria,"Town of Corinella, Boonwurrung Country",05/06/1989,20/12/1994,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
CRNL,Corinella,Victoria,"Corinella farming run near Eganstown, Dja Dja Wurrung Country",26/09/1900,13/07/1906,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
DLLY,Dalley,New South Wales,"Rt Hon William Bede Dalley QC, 1831–88",11/12/1900,21/11/1968,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
DMPR,Dampier,Western Australia,"William Dampier, 1651–1715",01/02/1913,13/09/1922,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
DRBN,Darebin,Victoria,"Darebin Creek / Dirrabeen, Wurundjeri Country ",11/05/1949,21/11/1968,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
DARL,Darling,New South Wales,"Darling River / Baaka, Barkindji Country",11/12/1900,01/11/1977,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
DDWN,Darling Downs,Queensland,"Darling Downs region, Baranggum Country",28/12/1900,13/09/1984,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
DRWN,Darwin,Tasmania,"Mount Darwin, Toogee Country",02/10/1903,30/08/1955,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
DNSN,Denison,Tasmania,"Sir William Thomas Denison KCB, 1804–1871",02/10/1903,14/11/2017,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
DMVL,Diamond Valley,Victoria,"Diamond Creek / Nillumbik, Wurundjeri Country",21/11/1968,14/09/1984,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
DUND,Dundas,New South Wales,"Suburb of Dundas, Dharug Country",01/11/1977,31/01/1992,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
ESYD,East Sydney,New South Wales,"Locality of East Sydney, Gadigal Country",11/12/1900,21/11/1968,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
ECHU,Echuca,Victoria,"Town of Echuca,Yorta Yorta Country",08/10/1900,21/07/1937,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
EVNS,Evans,New South Wales,"George William Evans, 1775–1852",11/05/1949,01/11/1977,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
FAWK,Fawkner,Victoria,"John Pascoe Fawkner, 1792–1869",13/07/1906,21/11/1968,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
FRAS,Fraser,Australian Capital Territory,"James Reay Fraser, 1908–70",19/04/1974,28/01/2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
GRPS,Grampians,Victoria,"Grampians Range / Gariwerd, Jardwadjali Country",08/10/1900,04/10/1922,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
GWYD,Gwydir,New South Wales,"Gwydir River / Guwayda, Kamilaroi Country",11/12/1900,22/11/2006,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
HWKR,Hawker,South Australia,"The Hon Charles Allan Seymour Hawker, 1894–1938",21/11/1968,17/01/1992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
HNTY,Henty,Victoria,"Francis Henty, 1815–89",01/02/1913,05/06/1989,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
HGNS,Higgins,Victoria,"The Hon Henry Bournes Higgins KC, 1851–1929",11/05/1949,27/11/2024,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
HBTH,Higinbotham,Victoria,"George Higinbotham, 1826–92",11/05/1949,21/11/1968,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
HDDL,Hoddle,Victoria,"Robert Hoddle, 1794–1881",11/05/1949,10/08/1955,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
ILWA,Illawarra,New South Wales,"Illawarra region / Allowrie, Tharawal Country",11/12/1900,13/09/1922,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
ISAA,Isaacs,Victoria,"Rt Hon Sir Isaac Alfred Isaacs GCB GCMG KC, 1855–1948",11/05/1949,21/11/1968,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
KLGR,Kalgoorlie,Western Australia,"City of Kalgoorlie / Kalgurli, Wangkatja Country",05/12/1900,18/12/2008,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
LAAC,Laanecoorie,Victoria,"Locality of Laanecoorie, Dja Dja Wurrung Country",08/10/1900,01/02/1913,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
LANG,Lang,New South Wales,"Rev John Dunmore Lang DD, 1799–1878",11/12/1900,01/11/1977,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
LWSN,Lawson,New South Wales,"Henry Archibald Hertzberg Lawson, 1867–1922",11/05/1949,21/11/1968,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
LOWE,Lowe,New South Wales,"Rt Hon Robert Lowe 1st Viscount Sherbrooke GCB PC, 1811–92",11/05/1949,22/12/2009,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
MART,Martin,New South Wales,"The Hon Sir James Martin QC kb, 1820–86",13/09/1922,30/08/1955,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
MMLN,McMillan,Victoria,"Angus McMillan, 1810–65",11/05/1949,13/07/2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
MBPT,Melbourne Ports,Victoria,"City of Port Melbourne, Boonwurrung Country",08/10/1900,13/07/2018,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
MNDA,Mernda,Victoria,"Suburb of Mernda, Wurundjeri Country",08/10/1900,01/02/1913,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
MOIR,Moira,Victoria,"County of Moira, Yorta Yorta & Bangerang Country",08/10/1900,13/07/1906,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
MRRY,Murray,Victoria,"Murray River / Millewa-Tongala, Ngarrindjeri & Yorta Yorta Country",11/05/1949,13/07/2018,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
NDGI,Namadgi,Australian Capital Territory,"Namadgi National Park, Ngunnawal & Ngambri Country",30/09/1994,10/12/1997,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
NEPN,Nepean,New South Wales,"Nepean River / Yandhai, Dharug Country",13/07/1906,13/09/1922,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
NSYD,North Sydney,New South Wales,"City of North Sydney / Cammeraygal, Gamaragal Country",11/12/1900,27/11/2024,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
NMEL,Northern Melbourne,Victoria,"Suburb of North Melbourne / Yerndaville, Wurundjeri Country",08/10/1900,13/07/1906,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
NTER,Northern Territory,Northern Territory,Northern Territory of Australia,11/10/1922,21/12/2000,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
OXLE,Oxley,Queensland,"Lt John Joseph William Molesworth Oxley, 1784–1828",28/12/1900,01/08/1934,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
PARK,Parkes,New South Wales,"The Hon Sir Henry Parkes GCMG, 1815–96",11/12/1900,21/11/1968,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
PATS,Paterson,New South Wales,"Col William Paterson FRS, 1755–1810",11/05/1949,11/10/1984,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
PHLP,Phillip,New South Wales,"Adm Arthur Phillip, 1738–1814",11/05/1949,31/01/1992,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
PTAD,Port Adelaide,South Australia,"Suburb of Port Adelaide / Yartapuulti, Kaurna Country",11/05/1949,20/07/2018,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
PSPC,Prospect,New South Wales,"Prospect Reservoir / Mararong, Dharug Country",21/11/1968,22/12/2009,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
RVRA,Riverina,New South Wales,"Riverina region, Wiradjuri Country",11/12/1900,11/10/1984,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
RVDA,Riverina-Darling,New South Wales,"Riverina region, Wiradjuri Country; Darling River / Baaka, Barkindji Country",11/10/1984,31/01/1992,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
SCUL,Scullin,Victoria,"Rt Hon James Henry Scullin, 1876–1953",10/08/1955,21/11/1968,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
SAUS,South Australia,South Australia,State of South Australia,01/01/1901,02/10/1903,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
SSYD,South Sydney,New South Wales,"Inner South region / Gadi , Gadigal Country",11/12/1900,01/08/1934,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
SMEL,Southern Melbourne,Victoria,"Suburb of South Melbourne / Nerre-nerre-minum, Boonwurrung Country",08/10/1900,13/07/1906,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
SGEO,St George,New South Wales,"St George region / Cogerah , Gadigal Country",11/05/1949,31/01/1992,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
STLG,Stirling,Western Australia,Adm Sir James Stirling kb 1791–1865,30/08/1955,02/09/2021,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
STRE,Streeton,Victoria,"Sir Arthur Ernest Streeton kb, 1867–1943",14/09/1984,05/06/1989,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
TASM,Tasmania,Tasmania,"State of Tasmania / lutruwita, palawa kani Country",01/01/1901,02/10/1903,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
THBY,Throsby,New South Wales,"Charles Throsby, 1771–1828",11/10/1984,25/02/2016,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
WKFD,Wakefield,South Australia,"Edward Gibbon Wakefield, 1796–1862",02/10/1903,20/07/2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,N/A
WATS,Watson,New South Wales,"The Hon John Christian Watson, 1867–1941",01/08/1934,21/11/1968,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A
WSYD,West Sydney,New South Wales,"Inner West region / Pirrama, Dharug Country",11/12/1900,21/11/1968,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
WLMT,Wilmot,Tasmania,Sir John Eardley Eardley-Wilmot 1st Baronet FRS 1783–1847,02/10/1903,12/09/1984,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,N/A
WIMM,Wimmera,Victoria,"Wimmera region, Yartwatjali Country",08/10/1900,07/11/1977,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
YARR,Yarra,Victoria,"Yarra River / Birrarung, Wurundjeri Country",08/10/1900,21/11/1968,TRUE,N/A,N/A,N/A,N/A,TRUE,N/A,N/A
